,GPStime,peakFreq,snr,amplitude,centralFreq,duration,bandwidth,chisq,chisqDof,confidence,id,ifo,label,imgUrl,Q-value
51948,1263323136.375,32.415,8.229,2.0600000000000001e-22,3012.205,2.25,5961.884277,0.0,0.0,1.0,XvHH2XRheR,H1,Scattered_Light,https://ldas-jobs.ligo-wa.caltech.edu/~gravityspy/runs/O3/CbTkzZ0li5/XvHH2XRheR.png,45.255
51949,1263379811.375,19.835,7.63,5.75e-21,2394.547,1.25,4758.504395,0.0,0.0,0.995,foadbiW4bJ,H1,Scattered_Light,https://ldas-jobs.ligo-wa.caltech.edu/~gravityspy/runs/O3/ddTzPaxwsX/foadbiW4bJ.png,45.255
51950,1263379961.4689999,30.749000000000002,74.634,1.84e-21,2961.093,4.375,5902.186035,0.0,0.0,0.94,r45iAIYrDy,H1,Scattered_Light,https://ldas-jobs.ligo-wa.caltech.edu/~gravityspy/runs/O3/ddTzPaxwsX/r45iAIYrDy.png,45.255
51951,1263392627.3439999,36.361999999999995,67.874,1.01e-21,3878.8740000000003,11.569,7737.748047,0.0,0.0,0.9129999999999999,3ggm5kOQYB,H1,Scattered_Light,https://ldas-jobs.ligo-wa.caltech.edu/~gravityspy/runs/O3/QP9YqdBb4N/3ggm5kOQYB.png,45.255
51952,1263394506.0310001,29.735,59.489,1.67e-21,3980.241,12.5,7940.48291,0.0,0.0,0.987,PQ4NFoRxBs,H1,Scattered_Light,https://ldas-jobs.ligo-wa.caltech.edu/~gravityspy/runs/O3/QP9YqdBb4N/PQ4NFoRxBs.png,45.255
51953,1263396241.563,28.898000000000003,49.711999999999996,1.5399999999999999e-21,3725.889,6.25,7431.77832,0.0,0.0,0.995,iYNCKX9jkz,H1,Scattered_Light,https://ldas-jobs.ligo-wa.caltech.edu/~gravityspy/runs/O3/QP9YqdBb4N/iYNCKX9jkz.png,45.255
51954,1263399051.063,28.388,57.375,1.88e-21,1959.5520000000001,6.0,3899.103271,0.0,0.0,0.998,zQF6mdKLD8,H1,Scattered_Light,https://ldas-jobs.ligo-wa.caltech.edu/~gravityspy/runs/O3/QP9YqdBb4N/zQF6mdKLD8.png,45.255
51955,1263399924.2810001,28.755,51.474,1.5399999999999999e-21,3579.105,8.75,7138.209961,0.0,0.0,0.973,4iFzJs6zTN,H1,Scattered_Light,https://ldas-jobs.ligo-wa.caltech.edu/~gravityspy/runs/O3/QP9YqdBb4N/4iFzJs6zTN.png,45.255
51956,1263402398.3439999,29.735,57.853,1.56e-21,3810.395,3.75,7600.789551000001,0.0,0.0,0.971,UIQ6YMkEGm,H1,Scattered_Light,https://ldas-jobs.ligo-wa.caltech.edu/~gravityspy/runs/O3/QP9YqdBb4N/UIQ6YMkEGm.png,45.255
51957,1263402570.375,24.648000000000003,7.7139999999999995,3.0500000000000003e-22,3002.8959999999997,2.75,5980.501465,0.0,0.0,0.9690000000000001,uQQXTF7APC,H1,Scattered_Light,https://ldas-jobs.ligo-wa.caltech.edu/~gravityspy/runs/O3/QP9YqdBb4N/uQQXTF7APC.png,45.255
51958,1263403316.875,18.835,58.148999999999994,3.82e-20,38.839,4.0,57.6777,0.0,0.0,0.9440000000000001,Edv5d4BCmK,H1,Scattered_Light,https://ldas-jobs.ligo-wa.caltech.edu/~gravityspy/runs/O3/QP9YqdBb4N/Edv5d4BCmK.png,22.627
51959,1263407407.688,20.227999999999998,7.9479999999999995,8.06e-21,3001.573,1.5,5983.146973,0.0,0.0,0.9390000000000001,CaZBFzmD7A,H1,Scattered_Light,https://ldas-jobs.ligo-wa.caltech.edu/~gravityspy/runs/O3/QP9YqdBb4N/CaZBFzmD7A.png,45.255
51960,1263407590.438,26.909000000000002,60.437,2.17e-21,3761.204,5.0,7502.407227,0.0,0.0,0.9129999999999999,xPHdzqUnwq,H1,Scattered_Light,https://ldas-jobs.ligo-wa.caltech.edu/~gravityspy/runs/O3/QP9YqdBb4N/xPHdzqUnwq.png,45.255
51961,1263412292.875,19.648,9.25,4.76e-21,3248.712,2.5,6466.834473,0.0,0.0,0.982,QBcYouwVgT,H1,Scattered_Light,https://ldas-jobs.ligo-wa.caltech.edu/~gravityspy/runs/O3/QP9YqdBb4N/QBcYouwVgT.png,45.255
51962,1263424003.813,19.871,8.546,4.35e-21,21.162,2.0,6.21039,0.0,0.0,0.9890000000000001,NuZRQhx01l,H1,Scattered_Light,https://ldas-jobs.ligo-wa.caltech.edu/~gravityspy/runs/O3/NAvKHGKPr5/NuZRQhx01l.png,45.255
51963,1263426449.375,19.835,7.9479999999999995,6.709999999999999e-21,3761.204,2.625,7502.407227,0.0,0.0,0.997,HzSPM1XqPg,H1,Scattered_Light,https://ldas-jobs.ligo-wa.caltech.edu/~gravityspy/runs/O3/NAvKHGKPr5/HzSPM1XqPg.png,45.255
51964,1263430432.875,19.648,10.898,3.9e-21,2930.413,6.75,5830.235352000001,0.0,0.0,0.934,VWvhn4TjCA,H1,Scattered_Light,https://ldas-jobs.ligo-wa.caltech.edu/~gravityspy/runs/O3/NAvKHGKPr5/VWvhn4TjCA.png,45.255
