"GPStime","peakFreq","snr","amplitude","centralFreq","duration","bandwidth","chisq","chisqDof","confidence","id","ifo","label","imgUrl","Q-value"
1263814624.844,24.316,22.008,6.15e-22,3200.115,7.313,6369.640137,0.000,0.000,1.000,"QRDL3Mp2Eo","L1","Scattered_Light","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/vn4IEOFEbM/QRDL3Mp2Eo.png",22.627
1264162332.344,24.316,21.882,6.09e-22,29.772,2.750,28.954081,0.000,0.000,1.000,"oXvqCpCptc","L1","Scattered_Light","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/gqBO7bpN1l/oXvqCpCptc.png",22.627
1264581186.906,32.882,20.995,2.30e-22,3814.853,2.506,7591.874023,0.000,0.000,1.000,"Gzj1ysdZEm","L1","Scattered_Light","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/6rCsUbFWcL/Gzj1ysdZEm.png",45.255
1264249497.563,23.331,20.245,8.87e-22,29.772,2.250,28.954081,0.000,0.000,1.000,"70us2igcpB","L1","Scattered_Light","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/GD2vY608J0/70us2igcpB.png",45.255
1263621009.656,24.316,19.622,7.21e-22,3025.546,2.750,6020.501465,0.000,0.000,1.000,"SAKkIKBw4C","L1","Scattered_Light","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/Mvkb8CE9Pn/SAKkIKBw4C.png",22.627
1264305423.469,23.515,18.612,5.47e-22,2276.322,1.750,4522.053711,0.000,0.000,1.000,"Z5nrFgHx6D","L1","Scattered_Light","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/DmTQQ8U2R1/Z5nrFgHx6D.png",22.627
1263746715.375,23.290,18.586,8.15e-22,3835.489,2.299,7640.387695,0.000,0.000,1.000,"WdlWmBNqnr","L1","Scattered_Light","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/anO2DuOLfL/WdlWmBNqnr.png",45.255
1264162006.563,22.918,18.564,8.03e-22,1606.004,2.000,3181.418945,0.000,0.000,1.000,"Ji4hwLwllf","L1","Scattered_Light","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/gqBO7bpN1l/Ji4hwLwllf.png",45.255
1263626328.625,23.290,18.547,5.99e-22,29.772,2.500,28.954081,0.000,0.000,1.000,"QRIuVJZv93","L1","Scattered_Light","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/Mvkb8CE9Pn/QRIuVJZv93.png",22.627
1264650976.438,26.909,18.371,5.84e-22,2965.551,3.750,5893.270996,0.000,0.000,1.000,"Tq8NfKjSSl","L1","Scattered_Light","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/6OADtKRdRg/Tq8NfKjSSl.png",45.255
1263778984.563,23.331,18.259,7.05e-22,3835.489,6.750,7640.387695,0.000,0.000,1.000,"ZvHcKueYNV","L1","Scattered_Light","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/1yvaySFRj3/ZvHcKueYNV.png",45.255
1263967690.469,24.316,18.132,5.63e-22,29.772,2.000,28.954081,0.000,0.000,1.000,"wFX6if8lXk","L1","Scattered_Light","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/JDk8YSAzvo/wFX6if8lXk.png",22.627
1263348346.531,24.316,17.990,5.34e-22,2341.432,2.000,4652.274414,0.000,0.000,1.000,"MXJF1ZFJwp","L1","Scattered_Light","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/ZTipp6u9VR/MXJF1ZFJwp.png",22.627
1264115106.406,23.515,17.917,5.81e-22,2437.714,2.051,4854.261230,0.000,0.000,1.000,"Bed1vNdalw","L1","Scattered_Light","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/Ifot2kGWeO/Bed1vNdalw.png",45.255
