"time","peakFreq","snr","amplitude","centralFreq","duration","bandwidth","chisq","chisqDof","confidence","id","ifo","label","imgUrl","Q-value"
1252096268.875,30.341,19.923,3.05e-22,3980.869,6.250,7939.228027,0.000,0.000,1.000,"6Xvjwt6BNk","L1","Scattered_Light","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/IepzXSnbt5/6Xvjwt6BNk.png",45.255
1251500730.438,26.909,41.901,2.94e-21,3982.889,3.250,7935.187988,0.000,0.000,1.000,"cc2Q2Lfaxg","L1","Scattered_Light","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/RmqAhDI25X/cc2Q2Lfaxg.png",22.627
1241802809.813,29.948,119.794,2.53e-21,3982.889,6.000,7935.187988,0.000,0.000,1.000,"4ooI9wlSey","L1","Scattered_Light","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/YfIxBowFHH/4ooI9wlSey.png",45.255
1250540678.625,24.187,47.712,3.37e-21,3982.889,4.831,7935.187988,0.000,0.000,1.000,"Ec8YjitTPh","L1","Scattered_Light","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/oG7gAHklnz/Ec8YjitTPh.png",45.255
1249318908.063,34.541,8.942,1.01e-22,3495.199,1.000,6932.537109,0.000,0.000,1.000,"qWEexUotHh","L1","Scattered_Light","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/7B6x652zka/qWEexUotHh.png",45.255
1250342639.188,22.513,8.683,3.01e-22,3883.332,1.553,7728.832520,0.000,0.000,1.000,"BOPu8ow6eb","L1","Scattered_Light","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/Hrsbon4v4y/BOPu8ow6eb.png",45.255
1244086028.625,33.033,10.711,1.06e-22,3980.588,7.069,7939.789063,0.000,0.000,1.000,"Suf8Gc6Vlz","L1","Scattered_Light","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/vWl3F01oXB/Suf8Gc6Vlz.png",45.255
1239106531.438,27.134,72.020,2.61e-21,3132.079,3.750,6249.746094,0.000,0.000,1.000,"qWAaiPNYd7","L1","Scattered_Light","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/SmpSM9dPHp/qWAaiPNYd7.png",45.255
1241802810.063,29.418,108.399,2.06e-21,3981.425,8.500,7938.115723,0.000,0.000,1.000,"iBrXLZ2ss3","L1","Scattered_Light","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/YfIxBowFHH/iBrXLZ2ss3.png",45.255
1241679420.938,31.594,11.159,1.22e-22,3840.712,1.286,7629.941406,0.000,0.000,1.000,"FH6NxpZdnH","L1","Scattered_Light","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/pIxJZandB1/FH6NxpZdnH.png",45.255
1238514722.813,26.655,58.261,2.82e-21,39.746,3.000,50.521221,0.000,0.000,1.000,"C97Te2nqyq","L1","Scattered_Light","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/jhMYTheLVL/C97Te2nqyq.png",45.255
1241812689.063,27.393,76.833,2.50e-21,3982.889,3.262,7935.187988,0.000,0.000,1.000,"znaHlEuOZD","L1","Scattered_Light","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/NIdEIWdLYo/znaHlEuOZD.png",45.255
